t;vds;corrente;vg
0;-0.0009952;0.0098826;0
0.02;0.0019904;0.0840021;0.084042
0.04;0.0009952;0.0592956;-0.004002
0.06;-0.0029856;-0.0395304;0.196098
0.08;-0.0029856;-0.0296478;0.196098
0.1;0.0109472;0.0642369;0.2001
0.12;-0.0009952;-0.0247065;0.196098
0.14;0.0318464;0.108709;0.2001
0.16;0.0308512;0.049413;0.196098
0.18;0.0427936;0.128474;0.2001
0.2;0.0417984;0.0741195;0.196098
0.22;0.0537408;0.172945;0.2001
0.24;0.0537408;0.0790608;0.196098
0.26;0.0656832;0.187769;0.2001
0.28;0.064688;0.098826;0.196098
0.3;0.0776256;0.217417;0.2001
0.32;0.0756352;0.15318;0.196098
0.34;0.089568;0.247065;0.2001
0.36;0.0885728;0.252006;0.196098
0.38;0.0975296;0.172945;0.196098
0.4;0.0935488;0.242124;0.196098
0.42;0.0816064;0.15318;0.2001
0.44;0.0816064;0.128474;0.196098
0.46;0.0686688;0.242124;0.2001
0.48;0.0706592;0.187769;0.196098
0.5;0.0577216;0.0840021;0.2001
0.52;0.0577216;0.182828;0.196098
0.54;0.0467744;0.0790608;0.2001
0.56;0.0477696;0.143298;0.196098
0.58;0.034832;0.0592956;0.2001
0.6;0.0358272;0.128474;0.196098
0.62;0.0228896;0.0345891;0.2001
0.64;0.0238848;0.11365;0.196098
0.66;0.0119424;-0.0049413;0.2001
0.68;0.0119424;0.0741195;0.196098
0.7;0;-0.0247065;0.2001
0.72;0.0019904;0.0642369;0.196098
0.74;-0.0109472;-0.0444717;0.2001
0.76;-0.009952;0.0296478;0.2001
0.78;-0.0228896;-0.0642369;0.192096
0.8;-0.0218944;-0.0691782;0.196098
0.82;-0.034832;0.0296478;0.2001
0.84;-0.0338368;-0.0840021;0.196098
0.86;-0.0467744;-0.0098826;0.2001
0.88;-0.04976;-0.11365;0.196098
0.9;-0.0378176;0.0148239;0.2001
0.92;-0.0388128;-0.0691782;0.196098
0.94;-0.0268704;0.0197652;0.2001
0.96;-0.0278656;-0.049413;0.2001
0.98;-0.014928;0.0296478;0.196098
1;-0.0159232;-0.049413;0.196098
1.02;-0.0039808;0.0444717;0.2001
1.04;-0.004976;-0.0247065;0.196098
1.06;0.0089568;0.0741195;0.2001
1.08;0.0069664;0.0049413;0.196098
1.1;0.0189088;0.0938847;0.2001
1.12;0.0179136;0.0197652;0.196098
1.14;0.0318464;0.098826;0.2001
1.16;0.029856;0.11365;0.196098
1.18;0.0427936;0.0296478;0.2001
1.2;0.0427936;0.0592956;0.196098
1.22;0.054736;0.143298;0.2001
1.24;0.0537408;0.0889434;0.196098
1.26;0.0656832;0.163063;0.2001
1.28;0.064688;0.11365;0.196098
1.3;0.0786208;0.197652;0.2001
1.32;0.0766304;0.133415;0.196098
1.34;0.0905632;0.2273;0.2001
1.36;0.0885728;0.148239;0.196098
1.38;0.0975296;0.237182;0.2001
1.4;0.0935488;0.232241;0.196098
1.42;0.0806112;0.128474;0.2001
1.44;0.0816064;0.207535;0.196098
1.46;0.069664;0.103767;0.2001
1.48;0.0706592;0.182828;0.196098
1.5;0.0577216;0.0889434;0.2001
1.52;0.0587168;0.182828;0.196098
1.54;0.0467744;0.0741195;0.2001
1.56;0.0467744;0.15318;0.196098
1.58;0.034832;0.049413;0.2001
1.6;0.0358272;0.11365;0.196098
1.62;0.0228896;0.0148239;0.2001
1.64;0.0238848;0.118591;0.196098
1.66;0.0109472;-0.0148239;0.2001
1.68;0.0129376;-0.0345891;0.196098
1.7;0;0.0938847;0.2001
1.72;0.0009952;0.0741195;0.196098
1.74;-0.0119424;-0.0592956;0.2001
1.76;-0.0109472;-0.0642369;0.196098
1.78;-0.0228896;0.0592956;0.2001
1.8;-0.0218944;0.0543543;0.196098
1.82;-0.034832;-0.098826;0.2001
1.84;-0.0338368;0.0148239;0.196098
1.86;-0.0467744;-0.11365;0.2001
1.88;-0.0487648;-0.098826;0.196098
1.9;-0.0378176;0.0296478;0.2001
1.92;-0.039808;-0.0790608;0.196098
1.94;-0.0268704;0.0296478;0.2001
1.96;-0.0278656;-0.0741195;0.196098
1.98;-0.014928;0.049413;0.2001
2;-0.0159232;-0.0642369;0.196098
2.02;-0.0029856;0.049413;0.2001
2.04;-0.0039808;0.0691782;0.196098
2.06;0.0079616;-0.0543543;0.2001
2.08;0.0079616;-0.0247065;0.196098
2.1;0.019904;0.108709;0.2001
2.12;0.0189088;0;0.196098
2.14;0.0318464;0.108709;0.196098
2.16;0.0308512;0.0197652;0.196098
2.18;0.0437888;0.123533;0.2001
2.2;0.0427936;0.049413;0.196098
2.22;0.054736;0.158122;0.2001
2.24;0.0537408;0.0691782;0.196098
2.26;0.0676736;0.177887;0.2001
2.28;0.0656832;0.0840021;0.196098
2.3;0.0776256;0.202593;0.2001
2.32;0.0776256;0.118591;0.196098
2.34;0.0885728;0.232241;0.2001
2.36;0.0875776;0.148239;0.196098
2.38;0.0975296;0.247065;0.2001
2.4;0.094544;0.242124;0.196098
2.42;0.0816064;0.11365;0.2001
2.44;0.0816064;0.217417;0.196098
2.46;0.0686688;0.103767;0.2001
2.48;0.0716544;0.202593;0.2001
2.5;0.0577216;0.0889434;0.192096
2.52;0.0587168;0.168004;0.196098
2.54;0.0467744;0.0741195;0.2001
2.56;0.0467744;0.133415;0.196098
2.58;0.034832;0.049413;0.2001
2.6;0.0368224;0.118591;0.196098
2.62;0.0228896;0.0247065;0.2001
2.64;0.0238848;0.11365;0.196098
2.66;0.0109472;0.0098826;0.2001
2.68;0.0119424;0.0741195;0.196098
2.7;0.0009952;-0.0296478;0.2001
2.72;0.0009952;0.049413;0.196098
2.74;-0.0119424;-0.0444717;0.2001
2.76;-0.0109472;0.0247065;0.196098
2.78;-0.02488;-0.0592956;0.2001
2.8;-0.0228896;0.0148239;0.196098
2.82;-0.034832;-0.0642369;0.2001
2.84;-0.034832;0.0049413;0.196098
2.86;-0.0457792;-0.0790608;0.2001
2.88;-0.0487648;-0.0790608;0.196098
2.9;-0.0388128;0;0.2001
2.92;-0.039808;-0.0642369;0.196098
2.94;-0.0268704;0.0098826;0.2001
2.96;-0.0278656;-0.0592956;0.196098
2.98;-0.0159232;0.0345891;0.2001
3;-0.0159232;-0.0395304;0.196098
3.02;-0.0039808;0.0642369;0.2001
3.04;-0.0039808;-0.0247065;0.196098
3.06;0.0079616;0.0592956;0.2001
3.08;0.0069664;0.0049413;0.2001
3.1;0.019904;0.0938847;0.196098
3.12;0.0189088;-0.0098826;0.196098
3.14;0.0318464;0.098826;0.2001
3.16;0.029856;0.0395304;0.196098
3.18;0.0427936;0.118591;0.2001
3.2;0.0427936;0.0592956;0.196098
3.22;0.054736;0.143298;0.2001
3.24;0.0537408;0.168004;0.196098
3.26;0.0666784;0.0691782;0.2001
3.28;0.0656832;0.108709;0.196098
3.3;0.0776256;0.187769;0.2001
3.32;0.0766304;0.138356;0.192096
3.34;0.089568;0.217417;0.2001
3.36;0.0885728;0.148239;0.196098
3.38;0.0965344;0.237182;0.2001
3.4;0.0935488;0.232241;0.196098
3.42;0.0806112;0.148239;0.2001
3.44;0.0816064;0.207535;0.2001
3.46;0.0686688;0.118591;0.192096
3.48;0.0706592;0.177887;0.196098
3.5;0.0577216;0.108709;0.2001
3.52;0.0587168;0.158122;0.196098
